username,score
haralabob,0.125
outdark,0.125
karl_0x,0.125
mattmedved,0.125
billioonaire,0.125
merchantofweb3,0.125
hellosuoha,0.125
jacknuked,0.125
Christianeth,0.125
AngeloBTC,0.125
hodlcryptoguys,0.125
rcdaut,0.125
CryptoAnglio,0.125
sanyi_eth_,0.125
DigitsCapital,0.125
cryptojamie7,0.125
cryptomanran,0.125
crypt0savage,0.125
db89348934db,0.125
1goonrich,0.125
deepname99,0.125
degentradingLSD,0.125
delucinator,0.125
pram_eth,0.125
doomsdart,0.125
dorculas,0.125
DegenKoloToure,0.125
player1_eth,0.125
pixl_pete,0.125
ABC555SC,0.125
bull_bnb,0.125
Crypto_Chase,0.125
dwr,0.125
CryptoWendyO,0.125
econoar,0.125
roxana_sucara,0.125
CryptoPaultw,0.125
CryptoLevi1337,0.125
fintechfrank,0.125
AGLuna12,0.125
carsonturner,0.125
DudespostingWs,0.125
0xmj23,0.125
p3p3capital,0.125
bunjil,0.125
sayinshallah,0.125
Badmon187,0.125
Sicarious_,0.125
0xSisyphus,0.125
YakuzaDaddy,0.125
FunkyBeaches,0.125
thegostep,0.125
0x_cope,0.125
HackermanAce,0.125
Mortpoker,0.125
HaywarZhu,0.125
SplitCapital,0.125
0xSneedful,0.125
Sneakybizz,0.125
_happyKC,0.125
applepi88963163,0.125
ShardiB2,0.125
IHayato,0.125
webby_the_dev,0.125
KyleSamani,0.125
KnightowlEth,0.125
PopcornKirby,0.125
OttoSuwenNFT,0.125
xPeaceLandBread,0.125
_goooat,0.125
ThinkingBitmex,0.125
Marky_Mark_32,0.125
batsoupyum,0.111111111
NoMoreLiquidity,0.107142857
mrblocktw,0.107142857
maid_crypto,0.107142857
0xLawliette,0.107142857
MINHxDYNASTY,0.107142857
brennasparksxxx,0.1
ScottLEOWarrior,0.1
MattInWeb3,0.1
chumbawamba22,0.1
rektguyNFT,0.1
icunucmi,0.1
tyh668,0.1
NickyGee44,0.1
RNR_0,0.1
TheeHustleHouse,0.1
thegaboeth,0.1
0x8i11i0n,0.1
Jejouw,0.1
zackvoell,0.1
mayakendrickxo,0.1
carlypreilly,0.1
digging4doge,0.1
0xleo0x,0.1
blknoiz06,0.096153846
marcusmoles,0.09375
based16z,0.09375
FarmerBrownDeFi,0.09375
k2_nft,0.09375
_PPMan_,0.09375
knowerofmarkets,0.09375
MinisterOfNFTs,0.090909091
quantbike,0.083333333
rootslashbin,0.083333333
Dear_Komick,0.083333333
zhusu,0.083333333
0xAlaric,0.083333333
jagTNFT,0.083333333
DeeZe,0.083333333
therobotjames,0.083333333
theirish_man,0.083333333
cousinxlee,0.083333333
0xtuba,0.083333333
Go1dmanSats,0.083333333
0x_bobo,0.083333333
BasedShillBH,0.083333333
Dabbing_dad_NFT,0.083333333
toad1892,0.083333333
DextMoon,0.083333333
EmilyLuvsCrypto,0.083333333
cannopo_,0.083333333
technicalroom,0.083333333
satofishi,0.083333333
gman_eth,0.083333333
wutaner,0.083333333
Pool2Paulie,0.083333333
lilclearpill,0.083333333
MediaGiraffes,0.083333333
EasyEatsBodega,0.083333333
lBattleRhino,0.083333333
Mercy22Funny,0.083333333
Impose_eth,0.083333333
level941,0.083333333
imnotkirei,0.083333333
DeFinalFantasy,0.083333333
0xDaes,0.083333333
Canonandd1,0.083333333
NachoTrades,0.083333333
sandraaleow,0.083333333
piankkk,0.083333333
Huddy0x,0.083333333
GrindingPoet,0.083333333
docXBT,0.083333333
MogCoinEth,0.083333333
0xTheEye,0.083333333
CryptoApprenti1,0.075
forestwithout,0.071428571
ameliabunny00,0.071428571
The_DonFather_,0.071428571
TheWolfWhispers,0.071428571
cryptocishanjia,0.071428571
yugoviking,0.071428571
MaxFlowO2,0.071428571
luge517,0.071428571
yummmycrypotato,0.0625
0xMoonbags,0.0625
D34thSt4lker,0.0625
HazardzistaAA,0.0625
xbtGBH,0.0625
setanimals,0.0625
jtradestar,0.0625
Etherean007,0.0625
btc_charlie,0.0625
promesx1,0.0625
sleepy0x13,0.0625
CryptoParadyme,0.0625
adamscochran,0.0625
therealdinoshi,0.0625
yeemenggg,0.0625
fewture,0.0625
_HITOZUMA,0.0625
PaigeOwensXXX,0.0625
cole0x,0.0625
1d34h4z4rd,0.0625
ACthecollector,0.0625
alex69xeth,0.055555556
beijingdou,0.055555556
brucelolzz,0.05
kasoutuu,0.05
heartereum,0.05
deltaxbt,0.05
0xopaque,0.05
poorlydrNFT,0.05
Crypto_Dex_,0.05
98sThoughts,0.05
Ckarku33,0.05
Irenezhao_,0.05
0xjune_,0.05
SalsaTekila,0.05
passytee,0.05
